"","name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V2","The Shawshank Redemption",-0.196261682242991,-0.465116279069767,-0.439024390243902,-0.142857142857143,-0.324324324324324,-0.16504854368932,-0.407407407407407,0.0704225352112676,-0.0864197530864197,-0.113636363636364,0.0681818181818182,0.012987012987013,-0.0425531914893617,-0.215686274509804,-0.120879120879121,-0.204301075268817,-0.348837209302326,-0.111111111111111,-0.189189189189189,-0.229166666666667
"V3","The Godfather",0.0833333333333333,0.448275862068966,0.159420289855072,0.0638297872340425,-0.0277777777777778,-0.0126582278481013,-0.195121951219512,0.153846153846154,-0.166666666666667,-0.0731707317073171,-0.304347826086957,-0.267605633802817,-0.5,-0.101123595505618,0.1875,0.111111111111111,0.138888888888889,0.123287671232877,0.181818181818182,-0.0882352941176471
"V4","The Godfather: Part II",-0.183098591549296,0.281553398058252,0.154929577464789,0.15,-0.0126582278481013,0.346534653465347,-0.0188679245283019,0.113924050632911,0.0909090909090909,0,0.5,-0.176470588235294,-0.0769230769230769,-0.192307692307692,-0.0888888888888889,0.142857142857143,0,-0.146067415730337,0,0.0882352941176471
"V5","Schindler's List",-0.230769230769231,0.0344827586206897,-0.204545454545455,0.139240506329114,-0.159663865546218,0,0.0909090909090909,0,0.0625,-0.278688524590164,-0.159663865546218,-0.379310344827586,-0.288461538461538,-0.211267605633803,-0.416666666666667,-0.209876543209877,-0.233333333333333,-0.27906976744186,-0.348837209302326,-0.0769230769230769
"V6","Pulp Fiction",0.024390243902439,-0.0357142857142857,0.0975609756097561,-0.161290322580645,-0.272727272727273,-0.0561797752808989,0.176470588235294,-0.194029850746269,-0.232876712328767,-0.253731343283582,0.194805194805195,-0.142857142857143,-0.257142857142857,-0.0793650793650794,-0.242105263157895,-0.227272727272727,0.120879120879121,0,-0.0989010989010989,-0.262295081967213
"V7","The Lord of the Rings: The Return of the King",-0.0843373493975904,-0.0297029702970297,-0.126760563380282,-0.35593220338983,-0.413333333333333,-0.333333333333333,-0.513513513513513,-0.448275862068966,-0.211267605633803,-0.406593406593407,-0.509433962264151,-0.690721649484536,-0.405405405405405,-0.283582089552239,-0.431818181818182,-0.431578947368421,-0.420289855072464,-0.581395348837209,-0.128205128205128,0.123287671232877
"V8","Forrest Gump",0.155555555555556,0.333333333333333,-0.0384615384615385,-0.027027027027027,-0.235294117647059,0.454545454545455,0,0.155555555555556,0.102040816326531,-0.346153846153846,0.0769230769230769,-0.259259259259259,0.258064516129032,-0.168831168831169,0.176470588235294,0.111111111111111,0.294117647058824,0.263157894736842,0.276595744680851,0.384615384615385
"V9","The Lord of the Rings: The Fellowship of the Ring",-0.348837209302326,0.303030303030303,0.0909090909090909,-0.12280701754386,-0.368421052631579,-0.111111111111111,-0.131578947368421,-0.230769230769231,-0.0985915492957746,-0.47945205479452,-0.102040816326531,-0.245283018867925,-0.104477611940299,-0.411764705882353,-0.4,-0.282051282051282,-0.256410256410256,-0.205882352941176,-0.422222222222222,-0.290322580645161
"V10","Fight Club",-0.0684931506849315,-0.142857142857143,-0.343283582089552,-0.303030303030303,-0.142857142857143,-0.21875,-0.2,-0.238095238095238,-0.234042553191489,-0.470588235294118,-0.0561797752808989,-0.368421052631579,-0.169811320754717,-0.324324324324324,-0.0740740740740741,-0.529411764705882,-0.230769230769231,-0.243243243243243,-0.518518518518518,-0.378378378378378
"V11","Inception",0.245901639344262,-0.566666666666667,-0.127272727272727,0.148148148148148,-0.0769230769230769,-0.142857142857143,0,-0.0714285714285714,0.0943396226415094,0.027027027027027,-0.227272727272727,-0.333333333333333,0.0163934426229508,0.027027027027027,-0.137254901960784,-0.297297297297297,-0.470588235294118,-0.238095238095238,-0.4,-0.307692307692308
